y,x,A
57,0.68,10.3
64,0.27,15.6
49,0.46,10
64,0.45,14.9
82,0.74,14
29,0.15,9.6
37,0.5,11.8
33,0.57,6.8
61,0.79,11.8
46,0.57,9.5
61,0.8,10.5
30,0.62,6.8
45,0.84,6.4
21,0.36,6
39,0.49,11.9
43,0.57,10.1
54,0.55,12
24,0.13,9
33,0.65,7.1
39,0.62,7.4
53,0.52,12.4
44,0.64,8.3
50,0.42,12.1
52,0.67,8.4
59,0.52,11.4
33,0.19,11.5
38,0.58,9
46,0.48,10.5
30,0.22,9.6
35,0.24,11.9
68,0.55,16.2
70,0.69,10
47,0.86,8.9
57,0.74,10.3
33,0.49,5.8
57,0.56,11.7
90,0.78,15.3
41,0.66,10
44,0.4,9.6
63,0.73,9.8
61,0.75,10.7
43,0.47,11.7
64,0.56,12.9
29,0.27,10.2
13,0.48,4.5
43,0.54,12.7
37,0.51,7.9
36,0.27,12.1
47,0.57,8.8
45,0.69,8.4
88,0.8,15.8
28,0.45,6.3
40,0.38,8.8
46,0.35,11.4
54,0.51,13
38,0.61,8.8
45,0.52,9.5
52,0.47,11.9
53,0.38,15.6
47,0.69,7.4
33,0.41,5.8
70,0.78,10.1
24,0.28,8.6
22,0.35,5.5
14,0.35,3.5
31,0.31,7.7
29,0.54,5
91,0.65,14.3
39,0.4,9.5
44,0.37,11.2
54,0.5,10.3
76,0.59,14.8
70,0.52,14.2
36,0.33,9.8
38,0.23,10.1
48,0.41,12.3
36,0.38,10.6
43,0.49,11.2
69,0.72,13.3
55,0.44,13.6
51,0.41,13.4
26,0.15,9.4
62,0.62,12
42,0.99,5.7
46,0.5,9.9
67,0.75,12.9
67,0.65,13.4
68,0.55,12.8
19,0.46,4.9
47,0.44,10
41,0.62,9
69,0.22,16.8
33,0.05,11.4
46,0.43,11.2
74,0.58,17.4
57,0.76,9.8
49,0.17,12.5
95,0.98,11.4
27,0.54,5.4
71,0.47,13.5
